Temperature,Growth,Metal_source,Metal_amount (g),Metal_mmol (mmol),Metal_concentration (mmol/g),Chalcogen_source,Chalcogen_amount (g),Chalcogen_mmol (mmol),Chalcogen_concentration (mmol/g),Metal/Se_ratio,Carboxylic_Acid,CA_amount (g),CA_mmol (mmol),Cd/CA_ratio,Amines,Amines_amount (g),Phosphines,Phosphines_amount (g),Phosphines_mmol (mmol),Chalcogen/Ph_ratio,Solvent I,S_I_amount (g),Solvent II,S_II_amount (g),Total_amount (g),Time_min (min),Purification antisolvent,Diameter_nm,FWHM (nm),Absorbance max (nm),PL max (nm),PLQY (%),Phase,Diameter from,Citation
70,170,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,3,methanol,2.1208,,475,507,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,170,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,7,methanol,2.25,,490,542,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,170,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,16,methanol,2.299,,495,525,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,170,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,24,methanol,2.4065,,505,530,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,170,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,36,methanol,2.4527,,510,535,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,170,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,50,methanol,2.4664,,512,540,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,140,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,3,methanol,1.9138,,445,490,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,140,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,7,methanol,2.0272,,460,500,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,140,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,16,methanol,2.1516,,477,505,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,140,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,24,methanol,2.2015,,480,513,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,140,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,36,methanol,2.2939,,495,521,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,140,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,50,methanol,2.3523,,503,525,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,110,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,16,methanol,1.9458,,455,490,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,110,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,24,methanol,2.0144,,460,495,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,110,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,36,methanol,2.0673,,465,497,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
70,110,cadmium acetate,0.13,0.56,0.03,Se powder,0.01,0.18,0.01,3.04,oleic acid,0.9,3.17,0.18,None,0,tributylphosphine,0.16,0.44,0.41,phenyl ether,14.98,None,0,16.18,50,methanol,2.0995,,470,500,None,Zinc Blende,absorbance spectra,Colloids and Surfaces A: Physicochem. Eng. Aspects 2006 272 111 - 116
